Visit Timestamp	Title	URL	Visit Count	Redirect Source	Redirect Destination	Visit ID	Origin
2022-01-15 14:49:09+00:00	plant shops near me - Google Search	https://www.google.com/search?q=plant+shops+near+me&ie=UTF-8&oe=UTF-8&hl=en-us&client=safari	2			1	Local Device
2022-01-15 14:49:10+00:00	plant shops near me - Google Search	https://www.google.com/search?q=plant+shops+near+me&ie=UTF-8&oe=UTF-8&hl=en-us&client=safari	2		"https://www.google.com/search?q=plant+shops+near+me&ie=UTF-8&oe=UTF-8&hl=en-
us&client=safari&dlnr=1&sei=5d7iYf6jKZKtptQP_-GIwAE"	2	Local Device
2022-01-15 14:49:15+00:00	plant shops near me - Google Search	"https://www.google.com/search?q=plant+shops+near+me&ie=UTF-8&oe=UTF-8&hl=en-
us&client=safari&dlnr=1&sei=5d7iYf6jKZKtptQP_-GIwAE"	2	https://www.google.com/search?q=plant+shops+near+me&ie=UTF-8&oe=UTF-8&hl=en-us&client=safari		3	Local Device
2022-01-15 14:49:15+00:00	plant shops near me - Google Search	"https://www.google.com/search?q=plant+shops+near+me&ie=UTF-8&oe=UTF-8&hl=en-
us&client=safari&dlnr=1&sei=5d7iYf6jKZKtptQP_-GIwAE"	2			4	Local Device
2022-01-15 14:50:01+00:00	plant shops near me - Google Search	"https://www.google.com/search?q=plant+shops+near+me&ie=UTF-8&oe=UTF-8&hl=en-
us&client=safari&dlnr=1&sei=5d7iYf6jKZKtptQP_-GIwAE#dlnr=1&trex=m_t:lcl_akp,rc_f:rln,rc_ludocids:881
6168392005291455,ru_gwp:0%252C7,ru_lqi:ChNwbGFudCBzaG9wcyBuZWFyIG1lIgOQAQFIzoSx_euAgIAIWicQABABGAAYA
hgDIhNwbGFudCBzaG9wcyBuZWFyIG1lKgYIAxAAEAGSAQ1nYXJkZW5fY2VudGVymgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU5aY
XpkeFgzRkJSUkFCqgETEAEqDyILcGxhbnQgc2hvcHMoAA,ru_phdesc:omCu5JhdcOw,trex_id:p1NnU"	1			5	Local Device
2022-01-15 14:50:06+00:00		"https://maps.google.com/maps/dir//472+Marshall+Ave,+Williston,+VT+05495/data=!4m6!4m5!1m1!4e2!1m2!1m
1!1s0x4cca78fdb4999e8b:0x7a59527145808dbf?entry=s&sa=X"	1		"https://www.google.com/maps/dir//472+Marshall+Ave,+Williston,+VT+05495/data=!4m6!4m5!1m1!4e2!1m2!1m1
!1s0x4cca78fdb4999e8b:0x7a59527145808dbf?entry=s&sa=X"	6	Local Device
2022-01-15 14:50:06+00:00	Your location to Gardener's Supply Company, 472 Marshall Ave, Williston, VT 05495 - Google Maps	"https://www.google.com/maps/dir//472+Marshall+Ave,+Williston,+VT+05495/data=!4m6!4m5!1m1!4e2!1m2!1m1
!1s0x4cca78fdb4999e8b:0x7a59527145808dbf?entry=s&sa=X"	1	"https://maps.google.com/maps/dir//472+Marshall+Ave,+Williston,+VT+05495/data=!4m6!4m5!1m1!4e2!1m2!1m
1!1s0x4cca78fdb4999e8b:0x7a59527145808dbf?entry=s&sa=X"		7	Local Device
2022-01-15 14:50:12+00:00		"https://maps.app.goo.gl/?utm_campaign=ml_promo&pcampaignid=ml-dv2&apn=com.google.android.apps.maps&a
mv=965100030&link=https%3A%2F%2Fwww.google.com%2Fmaps%2Fdir%2F%2F472%2BMarshall%2BAve%2C%2BWilliston
%2C%2BVT%2B05495%2F%4044.4443318%2C-
73.1208343%2C15z%2Fdata%3D!4m7!4m6!1m1!4e2!1m2!1m1!1s0x4cca78fdb4999e8b%3A0x7a59527145808dbf!3e0%3Fe
ntry%3Dml&isi=585027354&ibi=com.google.Maps&ius=comgooglemapsurl&pt=9008&mt=8&ct=ml-dv2-d5-en&efr=1"	2			8	Local Device
2022-01-15 14:50:12+00:00		"https://maps.app.goo.gl/?utm_campaign=ml_promo&pcampaignid=ml-dv2&apn=com.google.android.apps.maps&a
mv=965100030&link=https%3A%2F%2Fwww.google.com%2Fmaps%2Fdir%2F%2F472%2BMarshall%2BAve%2C%2BWilliston
%2C%2BVT%2B05495%2F%4044.4443318%2C-
73.1208343%2C15z%2Fdata%3D!4m7!4m6!1m1!4e2!1m2!1m1!1s0x4cca78fdb4999e8b%3A0x7a59527145808dbf!3e0%3Fe
ntry%3Dml&isi=585027354&ibi=com.google.Maps&ius=comgooglemapsurl&pt=9008&mt=8&ct=ml-dv2-d5-en&efr=1"	2			9	Local Device
2022-01-16 13:58:42+00:00	Bedding, Bath Towels, Cookware, Fine China, Wedding & GiftRegistry | Bed Bath & Beyond	https://www.bedbathandbeyond.com/	2			10	Local Device
2022-01-16 13:58:43+00:00	Bed Bath & Beyond: Bedding, Bathroom Sets, Cookware, Home Decor, Wedding & Gift Registry	https://www.bedbathandbeyond.com/	2			11	Local Device
2022-01-16 14:01:22+00:00	when does bed bath and beyond close - Google Search	"https://www.google.com/search?q=when+does+bed+bath+and+beyond+close&ie=UTF-8&oe=UTF-8&hl=en-
us&client=safari"	3			12	Local Device
2022-01-16 14:01:23+00:00	when does bed bath and beyond close - Google Search	"https://www.google.com/search?q=when+does+bed+bath+and+beyond+close&ie=UTF-8&oe=UTF-8&hl=en-
us&client=safari"	3			13	Local Device
2022-01-21 20:42:12+00:00	when does bed bath and beyond close - Google Search	"https://www.google.com/search?q=when+does+bed+bath+and+beyond+close&ie=UTF-8&oe=UTF-8&hl=en-
us&client=safari#sbfbu=1&pi=when%20does%20bed%20bath%20and%20beyond%20close"	1			14	Local Device
2022-01-21 20:42:22+00:00	when does bed bath and beyond close - Google Search	"https://www.google.com/search?q=when+does+bed+bath+and+beyond+close&ie=UTF-8&oe=UTF-8&hl=en-
us&client=safari"	3			15	Local Device
